iter	Passed	Remaining
0	285	285512
1	391	195449
2	477	158623
3	560	139571
4	637	126889
5	706	116978
6	775	109975
7	844	104687
8	924	101775
9	1013	100318
10	1095	98503
11	1164	95907
12	1231	93484
13	1301	91631
14	1369	89908
15	1446	88935
16	1522	88063
17	1602	87447
18	1679	86722
19	1750	85792
20	1813	84526
21	1884	83783
22	1964	83431
23	2043	83102
24	2113	82407
25	2184	81817
26	2253	81199
27	2323	80665
28	2398	80318
29	2479	80155
30	2557	79936
31	2640	79882
32	2719	79679
33	2784	79126
34	2849	78570
35	2924	78313
36	2999	78078
37	3090	78240
38	3168	78075
39	3237	77705
40	3318	77620
41	3400	77556
42	3467	77178
43	3538	76874
44	3613	76685
45	3695	76636
46	3772	76488
47	3843	76230
48	3922	76118
49	3996	75935
50	4081	75943
51	4153	75720
52	4227	75532
53	4306	75451
54	4382	75295
55	4450	75030
56	4537	75072
57	4618	75008
58	4706	75056
59	4770	74737
60	4834	74419
61	4898	74102
62	4973	73965
63	5044	73768
64	5115	73578
65	5189	73441
66	5266	73333
67	5331	73067
68	5418	73104
69	5515	73271
70	5588	73123
71	5665	73019
72	5748	72999
73	5826	72910
74	5914	72948
75	6014	73128
76	6088	72981
77	6165	72879
78	6258	72957
79	6335	72860
80	6420	72845
81	6513	72913
82	6601	72934
83	6672	72761
84	6758	72754
85	6846	72765
86	6943	72863
87	7028	72845
88	7115	72835
89	7188	72679
90	7266	72585
91	7350	72542
92	7428	72449
93	7521	72494
94	7611	72507
95	7689	72411
96	7774	72377
97	7862	72368
98	7936	72228
99	8022	72203
100	8128	72352
101	8205	72241
102	8290	72201
103	8380	72203
104	8471	72205
105	8550	72118
106	8638	72091
107	8724	72057
108	8823	72123
109	8939	72331
110	9025	72282
111	9113	72258
112	9201	72226
113	9291	72209
114	9379	72182
115	9463	72118
116	9563	72178
117	9646	72103
118	9723	71983
119	9815	71981
120	9906	71964
121	9979	71816
122	10059	71721
123	10145	71674
124	10238	71670
125	10324	71615
126	10403	71511
127	10490	71469
128	10565	71339
129	10647	71255
130	10729	71177
131	10814	71110
132	10899	71050
